,# participantGroup_status,unknown,very low,low,moderate,high,very high,mixed,,# participantGroup_confidence,unknown,very low,low,medium,high,very high,mixed,,# participantGroup_time,unknown,very little,little,some,a lot,mixed,,# participantGroup_education,unknown,illiterate,minimal,moderate,high,very high,mixed,,# participantGroup_physicalDisabilities,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_emotionalImpairments,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_performing,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_conforming,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_promoting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_venting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_interest,unknown,very little,a little,some,a lot,extremely,mixed,,# participantGroup_feelings_project,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_facilitator,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_stories,unknown,negative,neutral,positive,mixed,,# participantGroup_topic_feeling,unknown,strongly negative,negative,neutral,positive,strongly positive,mixed,,# participantGroup_topic_private,unknown,very private,medium,not private,mixed,,# participantGroup_topic_articulate,unknown,hard,medium,easy,mixed,,# participantGroup_topic_timeframe,unknown,hours,days,months,years,decades,mixed,,# aboutYou_experience,none,a little,some,a lot,,# aboutYou_help,none,a little,some,a lot,,# aboutYou_tech,none,a little,some,a lot
menu method (choose a question),,,maybe,,,,maybe,very good,,,,maybe,,,,maybe,very good,,,,no,maybe,,,maybe,,,,maybe,maybe,,,,,,,,,,,maybe,very good,,,,,,maybe,maybe,very good,,,,,,,,very good,,,,,,,,very good,,,,,,,,very good,,,,,,,,very good,,,,no,maybe,,,very good,maybe,,,,maybe,,,very good,,,,maybe,,,very good,,,,very good,,,very good,,,,very good,very good,very good,,,very good,,,,very good,very good,,very good,,,,very good,,,very good,,,,,,,,,,,,very good,,,,,,maybe,maybe,,,,,maybe,maybe,,
multiple questions per person,,,no,maybe,,maybe,no,maybe,,,,no,maybe,,maybe,no,maybe,,,,no,no,,,no,,,,maybe,maybe,,,,,,,,,,,maybe,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,no,maybe,,,very good,no,,,,no,maybe,,no,,,,no,,,no,,,,maybe,,,maybe,,,,no,no,maybe,,,no,,,,,,,,,,,very good,,,,,,,,,,,,,,,no,maybe,,,,,no,maybe,,,,,maybe,maybe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#storyQuestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
few questions (5 or fewer),,,very good,,,,very good,,,,,very good,,,,,,,,,very good,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,no,maybe,,,,,,,,,,,very good,,maybe,maybe,,,,very good,,maybe,maybe,,,,very good,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
some questions (6-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,very good,maybe,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
many questions (11 or more),,,maybe,,,,maybe,,,,,no,maybe,,,,,,,,no,maybe,,very good,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,maybe,,,,maybe,,,,no,,very good,maybe,,,,no,,very good,maybe,,,,no,,very good,maybe,,,,no,maybe,,,,maybe,,,,no,,,maybe,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,maybe,maybe,,
questions about emotion (how do you feel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,no,noi,,,,,,,very good,,,,,,,,very good,,,,,,,,very good,,,,,,,maybe,no,no,,,,no,maybe,,,very good,maybe,,,,very good,,,,,,,no,,very good,maybe,,,,no,,very good,no,,,,maybe,,,,,maybe,,,,no,,,maybe,,,,very good,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,
questions about categorizing (what type of story is this),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,very good,very good,,,,,,,no,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,,very good,,,,,,,,,,,,,,no,,,maybe,,,,very good,,,,,,,very good,,maybe,maybe,,,,very good,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about story form,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,maybe,,,,,,,,very good,,,,,maybe,maybe,,,very good,maybe,,,,,,,,,,,,,,,,,,maybe,,very good,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about story function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about story phenomenon,,,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,maybe,,,maybe,,,,maybe,,,,,,,maybe,,,,very good,,,,,,,,,,,,,,,,,,,
questions using story elements,,,maybe,,,,maybe,,,,,maybe,,,,,maybe,,,,no,,,very good,no,,,,very good,,,,,,,,,,,,maybe,maybe,,,,,,maybe,no,no,,,,,,maybe,maybe,maybe,,,,,,maybe,maybe,maybe,,,,,,,maybe,,,,,,,,very good,,,,,no,maybe,maybe,,very good,no,,,,no,,very good,no,,,,no,,,no,,,,no,,very good,no,,,,,,,,,,,,,very good,,,,,,,very good,,,,,,,,,,,very good,,,,no,maybe,,very good,,,no,maybe,,very good,,,,,,
choice list (nominal),,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choice list (ordinal with middle option),,,no,,,,maybe,,,,,maybe,,,,,maybe,,,,no,maybe,,,maybe,,,,maybe,maybe,,,,,,,,,,,maybe,maybe,,,,,,maybe,maybe,maybe,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,,maybe,,,,,,,,,,,,,no,maybe,maybe,,,no,,,,no,,,no,,,,no,,,maybe,,,,,,,,,,,,,,,,,,,,no,maybe,,maybe,,,,no,maybe,,maybe,,,,maybe,,,maybe,no,,,,maybe,maybe,,,,,,,,,,,,,,
choice list (ordinal without middle option),,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
range (unipolar),,,maybe,,,,,,,,,maybe,,,,,maybe,,,,,,,,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,
range (bipolar),,,maybe,,,,maybe,,,,,maybe,,,,,maybe,,,,no,maybe,,very good,no,,,,maybe,maybe,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,,very good,,,,,,,,very good,,,,,,,,very good,,,,,,,,,,,,,no,maybe,,,very good,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,maybe,,,,very good,,,,,,,,,,,,,,,no,maybe,,,,,maybe,,,,,,,,,
visual range,,,very good,,,,,,,,,very good,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,very good,,,,,,,very good,,,,,,,,very good,,,,,,,,,,,,maybe,maybe,,
word range,,,very good,,,,,,,,,very good,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,maybe,,,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
free text,,,no,maybe,,,maybe,maybe,,,,no,,,,very good,no,,,,no,maybe,,very good,no,,,,very good,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,very good,,,,,no,maybe,maybe,,very good,no,,,,very good,,,very good,,,,very good,,,,,,,very good,,,,,,,very good,very good,,,,very good,,,,maybe,,,maybe,,,,very good,,,,,,,,,,maybe,no,,,,very good,,,,,,maybe,maybe,,very good,,,maybe,maybe,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#participantQuestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detailed questions (your age),,,no,maybe,,,,,,,,no,maybe,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,maybe,,,no,,,,no,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,,no,maybe,,no,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,
broad questions (your age group),,,very good,,,,,,,,,very good,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,maybe,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,maybe,maybe,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
personal questions (your marital status),,,no,maybe,,,,,,,,no,maybe,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,maybe,,,no,,,,no,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,,no,maybe,,no,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,
questions about demographics,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,maybe,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,maybe,maybe,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about personality,,,,,,,,,,,,maybe,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,maybe,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,maybe,maybe,,maybe,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about role in community,,,maybe,maybe,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,maybe,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,maybe,maybe,,maybe,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about views on issues,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questions about views on community,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#venues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individual interviews,,,very good,,,,very good,,,,,very good,,,,very good,,,,,very good,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,very good,,,,,very good,,,very good,,,,,very good,,,very good,,,,,,,,very good,,,,,maybe,,,very good,,,,,maybe,very good,,maybe,maybe,maybe,,,,,,,,,,,no,,,no,,,,very good,,,,,,,very good,very good,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,no,maybe,,very good,,,maybe,,,very good,,,,,,
group interviews,,,no,maybe,,,maybe,no,,,,,,,,,,,,,maybe,maybe,,,maybe,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,maybe,,,,,,,,maybe,,,,,very good,,,maybe,maybe,,,,maybe,,,very good,,,,,maybe,very good,,,,maybe,,,,maybe,,very good,maybe,,,,maybe,,,maybe,,,,,,very good,,,,,,,,,,,,,,maybe,,,maybe,,,,very good,,,,,,,no,maybe,,,very good,,,,no,maybe,,very good,,,maybe,,,very good,,,,,,
peer interviews,,,very good,,,no,no,no,,,,maybe,,,,,,,,,no,maybe,,,no,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,very good,,,maybe,maybe,,,,maybe,,,maybe,,,,,no,maybe,,,very good,maybe,,,,no,,very good,maybe,,,,very good,,,,,,,no,,very good,,,,,maybe,,,,,maybe,,,,maybe,,very good,maybe,,,,very good,,,,,,,no,maybe,,,very good,no,,,,,,,,,,,,,,,maybe,,,
group story sessions,,,maybe,,,maybe,no,no,,,,,,,,,,,,,no,maybe,,very good,no,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,maybe,,,very good,,,,,maybe,,,,very good,,,,,maybe,,very good,maybe,,,,maybe,,,maybe,,,,,,very good,,,,,maybe,,,,,maybe,,,,maybe,,very good,maybe,,,,very good,,,,,,,no,maybe,,,very good,,,,maybe,,very good,very good,,,maybe,,,very good,,,,,,
survey (web),,,,,,no,no,no,,,,maybe,,,,maybe,,,,,maybe,,,maybe,maybe,,,,no,maybe,,,,no,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,,,,maybe,,,,,maybe,,,,,,,,no,maybe,,,,maybe,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,maybe,,,,no,,,no,,,,no,maybe,,no,,,,very good,,,,maybe,,,,maybe,,,,,,,,,,,,no,maybe,,
survey (email),,,,,,no,no,no,,,,maybe,,,,maybe,,,,,maybe,,,maybe,maybe,,,,no,maybe,,,,no,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,,,,maybe,,,,,maybe,,,,,,,,no,maybe,,,,maybe,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,maybe,,,,no,,,no,,,,no,maybe,,no,,,,very good,,,,maybe,,,,maybe,,,,,,no,maybe,,,,,no,maybe,,
survey (paper),,,,,,no,no,no,,,,maybe,,,,maybe,,,,,maybe,,,maybe,maybe,,,,no,maybe,,,,no,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,maybe,,,maybe,maybe,,,,,,,maybe,,,,,maybe,,,,,,,,no,maybe,,,,maybe,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,maybe,,,,no,,,no,,,,no,maybe,,no,,,,very good,,,,maybe,,,,maybe,,,,,,no,maybe,,,,,,,,
journals,,,very good,,,no,no,no,,,,maybe,,,,maybe,,,,,no,maybe,,very good,no,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,maybe,,,very good,,,,,maybe,,,maybe,maybe,,,,very good,,,maybe,,,,,maybe,,,,,,,,no,maybe,,,very good,maybe,,,,no,,very good,maybe,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,no,,,no,,,,maybe,,,,,,,no,,,maybe,maybe,maybe,,,maybe,,,,,,no,maybe,,,,,maybe,,,
narrative incident reports,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,,,,,,maybe,,,maybe,maybe,,,,very good,,,maybe,,,,,maybe,,,,,,,,maybe,maybe,,,very good,maybe,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,maybe,,,,maybe,,,maybe,,,,maybe,,,,,,,very good,very good,maybe,no,no,no,,,maybe,,,,,,no,maybe,,,,,maybe,,,
gleaned stories,,,very good,,,,very good,,,,,,,,,,,,,,very good,,maybe,no,no,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,maybe,,,,,,,very good,,,,,very good,,,very good,,,,,,,,very good,,,,,very good,,,,,,,,very good,,,maybe,no,maybe,,,,very good,,,,,,,very good,,,,,,,very good,,,,,,,no,maybe,,,,maybe,,,,no,,,no,,,,,,,,,,,,,,maybe,maybe,maybe,,,very good,,,maybe,,,maybe,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#collectionSessions #sensemakingSessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inviting via command,,,no,maybe,,,very good,no,,,,,,,,maybe,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,maybe,no,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,no,no,,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,very good,very good,,,,,very good,,,,,,,,,
inviting via networks,,,maybe,,,maybe,maybe,maybe,,,,maybe,,,very good,very good,no,,,,maybe,,,,,,,,very good,very good,,,,,,,,,,,,,,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,very good,,,,,,,no,maybe,,maybe,,,,maybe,very good,,,,,,no,maybe,,,,,,maybe,maybe,,,very good,maybe,,,,maybe,,,maybe,,,,,,,,,,,maybe,maybe,,,very good,,,,,,,,,,very good,,,,,,,,,
