Story title,Story text,Eliciting question,Feel about,Feel about,Feel about,Feel about,Scope,Come from,Come from,Come from,Needed,Needed,Needed,Needed,Needed,Got what needed,Ended well,Will remember,Amount of trust,Predictability,Position,Age group
My tally,"Do you see this? This is my tally. I don't show this to just everybody, you know. Here on the left is how much I've been paid over the past 24 years. Here on the right is how much I've saved this place. Every suggestion that worked, every mistake caught, every time I pointed out the better of two options. And right down here is the ratio. I have a rule for myself: if that ratio falls below two, work harder. It's only done that a few times. I think everybody should keep a tally like this. I tell everybody I meet about it.",Responsibility,satisfied,,,,Individual,first hand,,,,to be heard,,,,46,68,81,54,72,Manager,51 or older
On his conscience,"Did you hear about that guy who broke the big machine last week? How he just ran away instead of telling anybody about it? If he had reported the accident right away, those two people wouldn't have gotten hurt. He will have that on his conscience for a long time, I'll tell you. Though, on the other hand, if it was easier to say things anonymously...",Responsibility,,,,disappointed,Individual,,,rumor,,,,,options,5,36,47,15,31,Factory worker,35-50
They didn't ask me,"A surprise. Yeah. Getting transferred to another city was a surprise. Not a good one. Evidently whoever thought it would be such a great idea to ""consolidate"" didn't ask me.",Surprise,,frustrated,,disappointed,System,first hand,,,,,,,options,12,21,87,32,35,Manager,35-50
Why why why?,"Can you believe this new software they've foisted on us? The old thing was fine. I knew how it worked. I had a nice, pleasant routine. Now everything's all up in the air again, and for what reason? I can't see anything this new thing does that is one bit better. What a nuisance.",Surprise,,frustrated,,disappointed,System,first hand,,,,,respect,,options,32,42,32,43,65,Support staff,51 or older
Finally something new,"Have you seen the new software? I'm psyched. Finally we are creeping into the 21st century. Using that old thing was like washing clothes by hand. I love the new interface. Sure, it doesn't really do much more than the old software does, but this thing is more, you know, with the times, not so clunky. I'm totally on board.",Surprise,satisfied,,supported,,System,first hand,,,,,respect,,options,76,65,21,45,37,Support staff,younger than 35
Smiling,"So she says to me, ""Are the customers happy? Are you smiling?"" I said, ""I think the customers would rather get what they want than have me smile at them like an idiot."" And she says, ""You know we have new guidelines about smiling and making customers feel welcome."" Then - get this - I tell her about a customer I was not able to help, and can she help him. I have his info and everything, and she says she's too busy. What a hypocrite! We're supposed to make them happy by lying to them? I can't take it.",Responsibility,,frustrated,,,System,first hand,,,,,respect,,options,24,36,42,27,69,Support staff,younger than 35
The nice guy,"Yesterday I was in the line at the cafeteria, and I get up to the register, and the cashier tells me I have to update my meal card, that there's nothing left on it. I knew that, I was going to renew it that morning, but I totally forgot. So I'm in line, and there are ten people behind me, and I'm starting to turn red, and he says, ""Don't worry about it. I'll put it on my card today, and you can buy me lunch sometime."" I was amazed. I'm not sure he was supposed to do that. The next day I found him and bought him lunch AND dessert. The poeple in charge here might be jerks, but the people who WORK here are real people.",Responsibility,,,supported,,System,first hand,,,help,,respect,,,88,63,34,49,37,Engineer,35-50
Checking up on me,"I work at home, you know. Well, soon after I started doing that, my boss said he wanted to come over and visit me in my home office. Oh boy, I thought, he wants to check up on me, to make sure I'm not goofing off. So I spent the whole weekend cleaning up the place, making sure it looked just right. Then he gets there, and all he wants to know is, do I need anything. He wasn't checking up on me, he was checking to make sure I had what I needed! So I asked for a new printer and a better phone, and he sent them out right away. I guess he's on my side.",Surprise,,,supported,,Pair,first hand,,,,,respect,trust,,91,72,50,76,32,Support staff,51 or older
An example for us,"You've heard about Bob and Rob, right? The two guys who never get ahead because they can't stop arguing? It's such a joke, because everybody knows they are just hurting themselves. But they won't listen. I have a strange view on that. I think Bob and Rob provide an essential service to the larger organization, because they show so well how stupid it is to waste time on arguing. Maybe their bosses keep them around just as an education. Who knows.",Responsibility,satisfied,,,,Team,,,rumor,help,,,,options,9,54,22,34,56,Engineer,51 or older
My mistake,"This is kind of an embarrassing one. I had this friend Cheryl. I thought she was a whiz at database programming, so I begged and pleaded to bring her in as an expert on our database project. They trusted me, so they hired her. It turned out I was wrong, and Cheryl was a whiz at network programming. She could do databases, but she was no better than we were at it. I had to do a lot of extra work to cover up for the fact that she wasn't the whirlwind I thought she was. It wasn't Cheryl's fault! It was mine. I should have checked. I won't do that again.",Surprise,,,supported,disappointed,Pair,first hand,,,help,,,,,24,41,57,48,38,Support staff,35-50
Making his way,"I'm not going to say who this is about, because he might get in trouble, but I think I can tell it if I don't say who. So we were deciding how we could do something - I'm not going to say what it was, either. This guy spent a huge amount of energy advocating for one particular solution. He swore up and down that it was the most appropriate. So we did it, and it did turn out great. He was right. But later on I found out that he took a job working for the company that makes that solution. I met him for lunch one day, and he admitted that he advocated that solution because he wanted to apply for a job there, so he wanted to learn all about it. The thing turned out fine in the end, but what if it hadn't? I'm just saying.",Surprise,,,,disappointed,Individual,,second hand,,,,,trust,,39,56,54,67,37,Manager,35-50
Treated like children,"Have you seen those things they put on the coffee pots, where you have to push down the button over and over to get little spurts of coffee? When you used to just be able to stick your cup in there and it would fill it up? I heard it's some new push to get us to be more healthy at work. What a joke. If they wanted us to be more healthy at work they would relax the stupid deadlines.",Responsibility,,frustrated,,,System,first hand,,,,,respect,trust,,4,43,20,7,87,Factory worker,51 or older
Useful reminders,"I really like the new ""healthy living"" initiative. I've joined the new walking club at lunch. I know they haven't given us any extra time off to do this stuff, but I don't mind fitting it in. I like the little reminders to eat right, like how you can't just overdose on caffeine anymore. Definitely makes this a more exciting place to work.",Responsibility,satisfied,,supported,,System,first hand,,,help,,respect,,,72,76,23,42,43,Factory worker,younger than 35
Sandals,"So there's this guy in my group, I'll call him Fred. He doesn't ""approve"" of casual Fridays. He says we should all look our best every day. So we're having a meeting last Friday, and he goes on and on, in front of Marge, about how Frank is wearing sandals. What an idiot! And Marge just waits until he's done, then says something like, ""Thanks for that, Fred."" Then goes on with the meeting. I have to say, I admire that. I would probably scream at Fred, but she just takes it in stride. ",Responsibility,,frustrated,supported,,Individual,first hand,,,,,,trust,options,65,53,15,65,38,Factory worker,younger than 35
I broke a machine,"Do you want to know what I'm really proud of? I broke a machine. What happened was, we got this new machine in last month, it was supposed to - you know, it's complicated. Anyway, so I'm taking it out of the packaging, and right away I saw that something was damaged on it. It was a tiny thing, but I knew damn well what that tiny thing would do once the machine got up to speed. Well, nobody would listen, because they didn't understand what the tiny thing did. So I broke something else on it. Something that could be easily fixed, but something that anybody could see was broken. They ended up sending the machine back. Maybe I broke the rules, but I might have saved somebody's life. I'm proud of that.",Best or worst moment,satisfied,frustrated,,,Individual,first hand,,,help,,,trust,,27,64,67,24,72,Factory worker,51 or older
Business purposes,"Hey. Have you seen the stupid sign by the printer that says ""You may only use paper for business purposes?"" You know what has been happening with that sign, right? Let me see, how many words have been substituted for ""business?"" Probably twenty, and some of them have been hilarious. I have to admit, I may know somebody who has done some of it. Makes them look pretty stupid, I'll tell you.",Responsibility,,frustrated,,,System,,,rumor,,,,trust,,12,67,32,39,75,Engineer,51 or older
Best and worst,"I guess my best moment was also my worst moment. What happened was, my father-in-law died suddenly. I wanted to go and help out, but I had a huge report due in two weeks. Can you guess what my team did? Those four people told me to go take care of things, and they all pitched in, late at night and on weekends. Luckily I'm a big note-taker so there was a lot for them to work with. I think they did as good a job on the report as I would have! What a great team.",Best or worst moment,,,supported,,Team,first hand,,,help,,,trust,,85,45,78,97,40,Manager,51 or older
Knowing why,"You heard about what happened to Sidney, right? I went to see him last week at home. He's taking some time to get his thoughts together, maybe enjoy some well-earned vacation, before he starts looking. I asked him how did he feel about it, and he said, They told him it wasn't his fault, they said it was downsizing. But when he asked for specifics, when he wanted to know why, and why exactly, they didn't have an answer for him. I think they owe him that, that transparency. Knowing why. But he'll never get it. ",Responsibility,,frustrated,,,System,,second hand,,,,respect,,options,22,32,63,14,57,Manager,51 or older
When it clicked,"My best moment in the past month was when the new web site clicked. I was all muddled about it for a long time. It was this way, it was that way, I wasn't satisfied with anything. Then one morning I tried one more thing, and it just fell into place. I showed it to Robin and Mary, and they were like, ""Oh, this is it. You've done it."" Everything after that was just finishing up. That was a great day.",Best or worst moment,satisfied,,supported,,Individual,first hand,,,help,,respect,,,67,93,62,58,42,Support staff,younger than 35
I'm already here,"Do you remember last winter, in January, we had that huge snow storm? Well, as it happens, I was working really hard that week on a project. So I braved the snow and came in anyway. You are not going to believe this, but they wouldn't let me into the building. I was like, ""I'm already here!"" But they said there was a ""snow advisory"" and employees were being asked not to come to work for their own safety. Talk about inflexible! I had to drive the whole way home again and TRY to work from home, which was impossible because the machine I needed was at work. I was hopping mad.",Best or worst moment,,frustrated,,disappointed,System,first hand,,,,,,trust,,21,37,37,17,36,Factory worker,51 or older
Next to the phone,"Here's a funny story about surprise. So I know this guy Jan. He's always talking about how great his job is, how it's his dream, how he's one of the movers and shakers of the world. So I'm in his office last week, and he's going on about something, and I notice that right next to his phone, he's got stuck up on the wall a little printed list of all the paid holidays he has in the year. And it's been handled, I can tell. He's been checking it. So I wonder: why does this person who loves his job so much have that little printed list next to his phone? What does that mean? I don't know, I'm asking you.",Surprise,,frustrated,,,Individual,first hand,,,,,,,options,36,49,32,36,39,Engineer,younger than 35
You didn't tell me to do that,"So I told him, see these panels over here? I want you to check each one. Just take this wrench and bang on each one. If you hear a low pitch that panel's all right, but if you hear a high pitch that panel needs to be replaced. Two hours later I come back, and I say, ""So what did you find?"" He says, ""Well, I banged on all the panels, like you said."" I say, ""Which ones need to be replaced?"" ""I don't know,"" he says. ""What, didn't you write down which panels had a high pitch?"" ""You didn't tell me to do that."" Can you believe it? Some people can't take a step unless you tell them where to put their feet. ",Responsibility,,frustrated,,disappointed,Pair,first hand,,,help,to be heard,,,,7,40,39,16,74,Manager,51 or older
Waving it around,"We had this certification training, right? We were supposed to ""prove adequate competence"" in the new standards. So I was studying this, and studying it, and everyone was laughing at me because I was overdoing it. Then we had the test, and they brought us together to get the scores. The guy who ran the test, it was his baby, you know, he's holding one test in his hand, and he's waving it around, I couldn't hear him because I was way in the back of the room, but people told me, he was going on and on about how this is how people should be learning the new system, and if everybody did as well as this person this place would be the safest workplace in the world. Guess whose test he was holdling? You know whose it was. I do have to say, they all took me out for pizza afterwards, just to say ""you were right."" That was a good day.",Best or worst moment,satisfied,,,,Individual,first hand,,,,,respect,,,85,82,79,32,52,Factory worker,younger than 35
Just get rid of them,"One of the things I do around here is, I keep things neat and tidy. We have a little library here, regulations documents, manuals, that kind of thing. My boss and I were going through those one week, and we had gathered several boxes of things that were outdated, I'm talking several decades old. And he's like, throw those in the trash. I said, wait a minute, how about we recycle them? I know of a place where I can take old books. He was like, whatever, just get rid of them. So I ended up spending a whole Saturday dragging those boxes into my car and down to the recycling center. I was proud of myself, but nobody else seemed to care.",Responsibility,satisfied,,,disappointed,Pair,first hand,,,help,,,,options,25,56,34,38,36,Support staff,35-50
A shocking story,"Here's a shocking story. I got shocked once, working with one of the power supplies over in that room there. I don't remember the voltage. I was okay, though a little shaken. Right away I wrote up a little sign, saying something like, don't put your hands here and here, or something. I didn't want anybody else to find out what I found out the hard way. The next Monday I come in and my sign's gone. I asked what happened and they said, oh, we can't have any signage that isn't certified. I said, so let's start the process going! They said fine, so I filled out the paperwork for the incident. Six months later and there's still no sign there. I'm beginning to think they care more about signs than people.",Surprise,satisfied,,,disappointed,System,first hand,,,,,,trust,options,33,41,37,20,58,Factory worker,younger than 35
If you can do it so can I,"We have these time sheets to fill in, right? And it's a big deal that everyone has them, even the supervisors, right? I'm not going to say who this happened to, but I'll tell you what he told me. A few months ago he saw his supervisor's time sheet. It was sitting on the secretary's desk on top of some other paperwork when he went in to ask question. The time sheet said the supervisor worked Friday until 1700. But the guy SAW him drive out of the parking lot at noon, then come back at 1400 and work some more. This guy told me, if he can do it, so can I. So he started fudging his time sheet, not putting in more hours than he worked, but forgetting about exact times. I think a few of his friends have started doing it too. I'm not sure what to do. I can't see a reason why not. Can you?",Responsibility,,,,disappointed,Pair,,second hand,,,,,trust,options,34,35,38,15,54,Support staff,younger than 35
What company do YOU work at?,"I have five people reporting to me. I never thought I could manage anybody, but people say I'm good at it. I don't know. Last week I was in the cafeteria, and I saw a guy I know, and he's like, come on over and sit with me. So I did, and he starts on this rant about how his people aren't motivated and can't work. He says, if I tell them it has to be done Monday they say they can't do it until Wednesday. If I say, you need to learn this, they say, where's the training? They just have no motivation. I said something like, what company do YOU work at? Because my people are great. They work hard, and I trust them. So here's the kicker. What I DIDN'T tell this guy is that two of his people have come to me in the last six months asking if they can join my group. I don't have the budget, and I told them that. But secretly - and who this person is I'll never tell - it makes me feel pretty good, like I'm doing things right. That's a good memory.",Best or worst moment,satisfied,frustrated,,,Pair,first hand,,,,,,trust,,86,72,59,54,38,Manager,35-50
Get it done by Monday,"I know this woman. She's in a group where the manager just doesn't understand the work they're doing. Oh, he SAYS he does, but he's clueless. And worse, he doesn't listen. If they say they can get something done on Wednesday, he says ""get it done by Monday."" They're like, can you not HEAR me? And when they ask about training, he's like, why aren't you training yourself? It's like his own little dictatorship. Anyway, so my friend, she asked somebody else if she could join their team. They didn't have the budget for it. She told me that was her worst day of the whole time she's been here. Now she's looking outside the company. What I wonder is, why isn't there any way for, you know, somebody higher up somewhere to find out what this guy is doing? Isn't anybody managing him? I guess not.",Responsibility,,frustrated,,disappointed,Team,,second hand,,,to be heard,,trust,,23,29,37,16,71,Engineer,51 or older
Restart your brain,"Here's something that surprised me. I used to be part of this group that walked after lunch. There were something like ten of us at the most. People would see us and ask to join in. It was great for a few months, but then people started disappearing. We're down to three people now. I ran into one of the people later, and I was like, hey, why don't you walk after lunch anymore? It's a great way to restart your brain before you go back to work. He was like, oh, somebody saw me and said something to somebody, and my boss had a little talk with me. I tried to state my case, but he said I could only do the walk if I stayed a half hour late. I have little kids, you know, and I can't stay a minute late. Wish I could. That's what he said. It's too bad. I've been so much more productive since I started this walking thing. I hope more people don't drop out.",Surprise,,frustrated,,disappointed,Team,first hand,,,,,,trust,options,27,43,49,37,62,Support staff,35-50
"Great people, lousy company","Here I am, it's Tuesday night, it's ten at night, and I have to have thirty copies of this report ready by eight Wednesday morning. I'm almost done, and I'm printing everything, and suddenly the damn printer won't collate. I have thirty copies of a fifty-page report, and I have to arrange the pages by hand perfectly. I'm sitting there eating the last piece of pizza, drinking more coffee, and playing a stupid game on my phone to distract myself. The cleaning woman comes in. She's a nice one, she usually says hi and everything. She's like, what's all this paper? Do I need to clean this up? And I say, no, and I tell her what happened. She puts down her cleaning stuff, washes her hands, and says, let's do it. An hour later all reports are ready. I think I would have been there three more hours, mostly because I had already been working since six in the morning on it. Two weeks later I'm in late again and a different cleaning person comes in. I had been meaning to write some kind of letter to her supervisor, to say how great she was to pitch in. Anyway, so I say, where's the usual person? Surrpise surprise. She got laid off. They decided they could make do with fewer cleaning people. That's the problem of this place in a nutshell: great people, lousy company.",Surprise,satisfied,,supported,,Individual,first hand,,,help,,,,,79,46,41,61,72,Manager,35-50
The thing that works,"Have you heard of quality symptoms diagramming? No? You should look it up. I found it on the internet, and I gave my team a little presentation on it. Everybody loved it, and we've been using it for the past three months. What's that? Oh no, of course we don't put that on our quality systems reports. We're not that stupid! If they found out we're using this method to keep our quality high we'd never hear the end of it, you know, not standardized, insufficiently assessed, and all that rot. The fact is, it makes sense and it works. So we put in the overhead to do both things: the thing they make us do and the thing that works. Our work process is better, our numbers are up, we're happier, and they are leaving us alone. Thank goodness they don't pay that much attention. You know what they say, the only thing worse than an inefficient bureaucracy is an efficient bureaucracy.",Responsibility,satisfied,frustrated,,,System,first hand,,,,to be heard,,,,12,50,51,68,94,Manager,51 or older
How we really learn,"I know about a surprise. I know that if the people who came up with that new ""crystal clear"" knowledge thing - you know, the thing we're supposed to dump our brains into? If those people found out how we were REALLY helping each other learn, they'd be surprised. They have no idea how anybody really learns anything around here. I had better not say more than that.",Surprise,,frustrated,,,System,first hand,,,,to be heard,,,,8,51,31,22,84,Factory worker,51 or older
Something sparkly,"Worst day. I worked on it for two years. I had it, I had it just about perfect. Somebody saw something sparkly, and my thing got thrown out. I took some of my diagrams home. That's all I have left of it. I like this job. I like the stability. But sometimes....",Best or worst moment,,frustrated,,,Team,first hand,,,,to be heard,,,options,10,23,85,37,64,Engineer,51 or older
What she said,"You want to know about surprise? I'm going to surprise you right now. Do you see this manual? No, not that one, this one here. Look here on page 45, I memorized it. Do you see here where it says the procedure to follow to unstick this machine? That's what SHE said. Okay, so this other person and me, we had this long-standing dispute about the best way to unstick the machine. We had to do it all the time, and we each worked out our own way to do it. That's fine, but my way was better. Basically the thing stayed unstuck longer after I fixed it my way. But she's, you know, more of a talker than I am. She told the boss, and she told his boss, and all that, and when they came to document what we did, her way got in. I still do it my way, and it's still the best way. There's lots of little surprises like that in these manuals.",Surprise,,frustrated,,,System,first hand,,,,to be heard,,,options,32,52,33,25,84,Factory worker,51 or older
